title,genre,premiere,seasons,length,status,upcoming,table
Ghost in the Shell SAC_2045[285],Anime,2020,,,,,16
Ginny and Georgia[286],Coming-of-age drama,2020,,,,,16
"Go, Dog, Go![280]",Animation,2020,,,,,16
Go! Go! Cory Carson[287],Animation,2020[288][289],,,,,16
I Am Not Okay with This[290],Coming of age comedy,2020[291],,,,,16
"I Do, Redo (co-production with CTV)[292]",Reality show,2020,,,,,16
Into the Night[293],Science-fiction,2020,,,,,16
Izzy Bee's Koala World[280],Docu-series,2020,,,,,16
Japan Sinks 2020[294],Anime,2020,,,,,16
Ju-On[283],Japanese language Horror,2020,,,,,16
Jurassic World: Camp Cretaceous[295],Animation,2020,,,,,16
Kid Cosmic[288],Animation,2020,,,,,16
Kipo and the Age of Wonderbeasts[296],Animation,2020[296],,,,,16
Locke & Key[297],Supernatural-Horror,2020[258],,,,,16
Madam C. J. Walker[298],Miniseries,2020[299],,,,,16
Memorias de Idhún[278],Spanish language animation,2020,,,,,16
Never Have I Ever[300][301],Comedy,2020,,,,,16
Onisciente[302],Sci-fi,2020,,,,,16
Outer Banks[303],Coming-of-age drama,2020[304],,,,,16
Pacific Rim[305],Anime,2020,,,,,16
Queen Sono[306][307],Crime drama,2020[306][307],,,,,16
Ragnarok[271],Norwegian language coming of age drama,2020,,,,,16
Ratched[308],Drama,2020; Renewed[308],,,,,16
Reality Z[309],Portuguese language zombie comedy,2020,,,,,16
Rhyme Time Town[284],Animation,2020[284],,,,,16
Selena: The Series[310],Biopic,2020,,,,,16
Spectros[311],Portuguese language thriller,2020,,,,,16
Space Force[312],Comedy,2020,,,,,16
StarBeam[280],Animation,2020,,,,,16
The Circle US[313],Reality competition,2020,,,,,16
The English Game[314],Drama,2020,,,,,16
The Iliza Shlesinger Sketch Show[315],Sketch comedy,2020,,,,,16
The Last Dance[316],Docu-series,2020,,,,,16
The Neighbor[317][278],Spanish language comedy,2020,,,,,16
The Woods[318][319],Polish language thriller,2020,,,,,16
Tiny Pretty Things[320],Drama,2020,,,,,16
Todo por ti[321],Spanish language series,2020,,,,,16
Transformers: War for Cybertron Trilogy[322],Animation,2020,,,,,16
Unorthodox[323],Drama miniseries,2020,,,,,16
Untitled Arsène Lupin series[324],French language drama,2020,,,,,16
Untitled docu-series about pioneering surgeons,Docu-series,2020,,,,,16
Untitled Unbreakable Kimmy Schmidt interactive special[325],Interactive fiction Special,2020,,,,,16
Valeria[278],Spanish language dramedy,2020,,,,,16
What-to-Doodles[280],Animation,2020,,,,,16
Life in Colour (co-production with BBC Two)[326],Docu-series,2021,,,,,16
Maya and the Three[288],Animation miniseries,2021,,,,,16
Trash Truck[288],Animation,2021,,,,,16
1899[327],Horror/history,TBA,,,,,16
A Chorus Line[328],Drama miniseries,TBA,,,,,16
A Life in Men[329],Drama,TBA,,,,,16
Again[330][f],Thriller,TBA,,,,,16
Agent King[331],Animated comedy,TBA,,,,,16
AlRawabi School for Girls[332],Arabic-language drama,TBA,,,,,16
All the Light We Cannot See[333],Historical drama miniseries,TBA,,,,,16
Altered Carbon: Resleeved[305],Anime,TBA,,,,,16
American Jesus[334],Supernatural drama,TBA,,,,,16
Anxious People[335],Swedish language dramedy,TBA,,,,,16
A Secret Love[328],Docuseries,TBA,,,,,16
Astronomy Club[336],Comedy,TBA,,,,,16
Away[337],Science-fiction,TBA,,,,,16
Baahubali: Before The Beginning[338][f],Fantasy,TBA; Renewed[339],,,,,16
Babies[340],Docu-series,TBA,,,,,16
Bandidos[341],Spanish language drama,TBA,,,,,16
Battle Kitty[342],Animation,TBA,,,,,16
Behind Her Eyes[343],Psychological thriller miniseries,TBA,,,,,16
Betaal[344][345],Hindi language thriller,TBA,,,,,16
Billy and the Minpins[346],Animation miniseries,TBA[346],,,,,16
Biohackers[347],German language thriller,TBA,,,,,16
Black Excellence[348],Comedy,TBA,,,,,16
Black Moon[314],Italian language historical drama,TBA,,,,,16
Bloodride[347],Norwegian language horror anthology,TBA,,,,,16
Bloom[349],Drama,TBA,,,,,16
Bombay Begums[344][350],Hindi language drama,TBA,,,,,16
"Bom Dia, Verônica[351]",Portuguese language crime drama,TBA,,,,,16
Bone[352],Animation,TBA,,,,,16
Boy: Tales of Childhood[346],Animation miniseries,TBA[346],,,,,16
Brew Brothers[353],Comedy,TBA,,,,,16
Cagaster of an Insect Cage[305],Anime,TBA,,,,,16
Catrina: La Santa Muerte[354],Spanish language action drama,TBA,,,,,16
Centaurworld[355][356],Animation,TBA,,,,,16
Charlie and the Chocolate Factory[346],Animation miniseries,TBA[346],,,,,16
Charlie and the Great Glass Elevator[346],Animation miniseries,TBA[346],,,,,16
Chico Bon Bon: Monkey with a Tool Belt[287],Animation,TBA,,,,,16
Churchmen[357],Drama,TBA,,,,,16
City of Ghosts[358],Animation,TBA,,,,,16
Clickbait[359],Thriller,TBA,,,,,16
Comfort Me with Apples[360],Bio-pic,TBA,,,,,16
Consumed[361],Horror miniseries,TBA,,,,,16
Crocodile[362],Mystery thriller,TBA,,,,,16
Curon[363],Italian language supernatural drama,TBA,,,,,16
Dare Me (co-production with USA Network)[364],Drama,TBA,,,,,16
Dark Web[365],Docu-series,TBA,,,,,16
Dash & Lily[366],Romance,TBA,,,,,16
Desenfrenadas[367],Spanish language comedy,TBA,,,,,16
Diablo[368],Animated fantasy,TBA,,,,,16
Dirty Beasts[346],Animation miniseries,TBA[346],,,,,16
Dracula (co-production with BBC One)[369],Drama,TBA,,,,,16
Dragon's Dogma[370],Anime,TBA,,,,,16
El Inocente[371],Spanish language thriller,TBA,,,,,16
El jefe[143],Spanish language series,TBA,,,,,16
Entergalactic[372],Animation,TBA,,,,,16
Equinox[373],Danish language thriller,TBA,,,,,16
Esio Trot[346],Animation miniseries,TBA[346],,,,,16
Extracurricular[374],Korean language teenage crime drama,TBA,,,,,16
Fast & Furious: Spy Racers[375],Animation,TBA,,,,,16
Fedeltà[363],Italian language romantic drama,TBA,,,,,16
Fifth Risk[349],Docu-series,TBA,,,,,16
Firefly Lane[376],Drama,TBA,,,,,16
Freud (co-production with ORF)[377],Period thriller,TBA,,,,,16
Gentefied[378],Spanish language drama,TBA,,,,,16
George's Marvellous Medicine[346],Animation miniseries,TBA[346],,,,,16
Ghee Happy[379],Animation,TBA,,,,,16
Giri/Haji (co-production with BBC One)[380],Drama,TBA,,,,,16
Gods & Heroes[381],Anime,TBA,,,,,16
Going Solo[346],Animation miniseries,TBA[346],,,,,16
Guillermo del Toro Presents 10 After Midnight[382],Horror anthology,TBA,,,,,16
Henry Sugar[346],Animation miniseries,TBA[346],,,,,16
Hit and Run[383],Political espionage thriller,TBA,,,,,16
Hollywood[384],Drama,TBA,,,,,16
Home for Christmas[385],Norwegian language Drama,TBA,,,,,16
Hoops[386],Animated comedy,TBA,,,,,16
Hot Chocolate Nutcracker[274],Docu-series,TBA,,,,,16
Human Resources[387],Animated comedy,TBA,,,,,16
Inside Job[388],Animated comedy,TBA,,,,,16
Invisible Cities[389],Portuguese language fantasy thriller,TBA,,,,,16
Julie and the Phantoms[390],Musical series,TBA,,,,,16
Jupiter's Legacy[334],Superhero epic,TBA,,,,,16
Justiciera[143],Spanish language series,TBA,,,,,16
Kaos[391],Dark comedy,TBA,,,,,16
Katla[392],Icelandic language supernatural drama,TBA,,,,,16
Listen to Your Vegetables & Eat Your Parents[349],Children's series,TBA,,,,,16
Los Favoritos de Midas[371],Spanish language thriller,TBA,,,,,16
Los corruptores[341],Spanish language thriller,TBA,,,,,16
Love 101[393],Turkish language drama,TBA,,,,,16
Love & Anarchy[394],Swedish language drama,TBA,,,,,16
Mae & George (co-production with Channel 4)[395],Comedy,TBA,,,,,16
Magic: The Gathering[396],Animation,TBA,,,,,16
Mai[344][397],Hindi language thriller,TBA,,,,,16
Mama K's Team 4[398],Animation,TBA,,,,,16
Masaba Masaba[344][399],Hindi language drama,TBA,,,,,16
Masters of the Universe: Revelation[400],Anime,TBA,,,,,16
Matilda[346],Animation miniseries,TBA[346],,,,,16
Medical Police[401],Drama,TBA,,,,,16
Messy[344][402],Hindi language comedy,TBA,,,,,16
Midnight Mass[403],Horror,TBA,,,,,16
Midnight's Children[404],Drama,TBA,,,,,16
Mortel[314],French language superhero series,TBA,,,,,16
Move[405],French language docuseries,TBA,,,,,16
Move to Heaven[406],Korean language drama,TBA,,,,,16
Next in Fashion[407],Reality competition,TBA,,,,,16
Nobody's Looking[408],Portuguese language comedy drama,TBA,,,,,16
Notes on Love[409],Anthology series,TBA,,,,,16
Oceans[410],Docuseries,TBA,,,,,16
One Hundred Years of Solitude[411],Spanish language drama,TBA,,,,,16
Ottoman Rising[412],Docudrama,TBA,,,,,16
Overlooked[349],Crime Drama Anthology,TBA,,,,,16
Pico & Sepulveda[274],Historical drama,TBA,,,,,16
Pieces of Her[413],Thriller,TBA,,,,,16
Q-Force[414],Animated comedy,TBA,,,,,16
Raise the Bar[415],Animation,TBA,,,,,16
Reset: My Fight for Inclusion and Lasting Change[274],Biopic,TBA,,,,,16
Rhyme Stew[346],Animation miniseries,TBA[346],,,,,16
Round Six[416],Korean language thriller,TBA,,,,,16
The School Nurse Files[417],Korean language drama,TBA,,,,,16
Sex/Life[418],Dramedy,TBA,,,,,16
Shadow and Bone[419],Fantasy drama,TBA,,,,,16
Shimmers[145],Thai language thriller,TBA,,,,,16
Slutty Teenage Bounty Hunters[420],Comedy,TBA,,,,,16
Snabba Cash[421],Swedish language thriller,TBA,,,,,16
Someone Has to Die[422],Spanish language period drama miniseries,TBA,,,,,16
Soundtrack[423][424],Musical drama,TBA,,,,,16
Spinning Out[425],Drama,TBA,,,,,16
SPRIGGAN[370],Anime,TBA,,,,,16
Sunshine Scouts[274],Dark comedy,TBA,,,,,16
Super Crooks[370],Anime,TBA,,,,,16
Sweet Magnolias[426],Romance drama,TBA,,,,,16
The Baby-Sitters Club[427],Dramedy,TBA,,,,,16
The Barbarians[428],German language period epic,TBA,,,,,16
The BFG[346],Animation miniseries,TBA[346],,,,,16
The Big Flower Fight[429],Reality competition,TBA,,,,,16
The Big Show Show[430],Comedy,TBA,,,,,16
The Chestnut Man[431],Danish language crime drama,TBA,,,,,16
The Circle Brazil[432],Reality competition,TBA,,,,,16
The Circle France[432],Reality competition,TBA,,,,,16
The Crew[433],Comedy,TBA,,,,,16
The Cuphead Show![434],Animation,TBA,,,,,16
The Duchess[435],Comedy,TBA,,,,,16
The Eddy[436],Musical drama,TBA,,,,,16
The Enormous Crocodile[346],Animation miniseries,TBA[346],,,,,16
The Expanding Universe of Ashley Garcia[437],Comedy,TBA,,,,,16
The Forty Rules of Love[438],Turkish language drama,TBA,,,,,16
The Ghost Bride[439],Mandarin language mystery drama,TBA,,,,,16
The Giraffe and the Pelly and Me[346],Animation miniseries,TBA[346],,,,,16
The Girls on the Bus[440],Comedy-drama,TBA,,,,,16
The Green Beret’s Guide to Surviving the Apocalypse[441],Comedy,TBA,,,,,16
The Healing Powers of Dude[442],Family comedy,TBA,,,,,16
The Irregulars[443],Drama,TBA,,,,,16
The Last Word[444],German language comedy-drama,TBA,,,,,16
The Letter for the King[445],Adventure,TBA,,,,,16
The Liberator[446],Animated war drama,TBA,,,,,16
The Magic Finger[346],Animation miniseries,TBA[346],,,,,16
The Magic Order[447],Drama,TBA,,,,,16
The One[448],Science-fiction,TBA,,,,,16
The Pentaverate[449],Comedy,TBA,,,,,16
The Queen's Gambit[450],Drama miniseries,TBA,,,,,16
The Residence[274],Drama,TBA,,,,,16
The Sandman[451],Fantasy,TBA,,,,,16
The Serpent (co-production with BBC One)[452],Thriller miniseries,TBA,,,,,16
The Stranger[453],Thriller,TBA,,,,,16
The Twits[346],Animation miniseries,TBA[346],,,,,16
The Upshaws[454],Comedy,TBA,,,,,16
The Warmth of Other Suns[274],Drama,TBA,,,,,16
The Valhalla Murders (co-production with RÚV)[455],Icelandic language crime drama,TBA,,,,,16
Three Steps Over Heaven[363],Italian language romantic drama,TBA,,,,,16
Three Wishes[456],Mystery,TBA,,,,,16
Trese[305],Anime,TBA,,,,,16
Tribes of Europe[428],German language science fiction,TBA,,,,,16
Twogether[457],Korean language Chinese language reality,TBA,,,,,16
Tyll[438],German language drama,TBA,,,,,16
Unsolved Mysteries[458],Documentary,TBA,,,,,16
Untitled Alex Hirsch animated series[459],Animation,TBA,,,,,16
Untitled animated series from Chris Garbutt and Rikke Asbjoern[460],Animation,TBA,,,,,16
Untitled Anna Delvey series[461],Drama,TBA,,,,,16
Untitled Avatar: The Last Airbender live-action series[462],Fantasy,TBA,,,,,16
Untitled Chris Nee animated series[463],Animation,TBA,,,,,16
Untitled Chris Nee live-action series[463],Family,TBA,,,,,16
Untitled Cowboy Bebop live-action series[464],Science fiction,TBA,,,,,16
Untitled documentary series[465],Documentary,TBA,,,,,16
Untitled docu-series about Andy Warhol[328],Docuseries,TBA,,,,,16
Untitled docu-series about the Isabella Stewart Gardner Museum theft[466],Docu-series,TBA,,,,,16
Untitled docu-series about the murder of Grégory Villemin[467],Docu-series,TBA,,,,,16
Untitled docu-series from Zero Point Zero Production[468],Docu-series,TBA,,,,,16
Untitled French language historical drama[469],Historical drama,TBA,,,,,16
Untitled Jean-Xavier de Lestrade docu-series[470],Docu-series,TBA,,,,,16
"Untitled Jenji Kohan ""Teen Jesus"" comedy series[471]",Sitcom/satire,TBA,,,,,16
Untitled Lior Raz & Avi Issacharoff terrorism drama series[383],Drama,TBA,,,,,16
Untitled Loren Bouchard animated series[472],Animation,TBA,,,,,16
Untitled Michaela Coel comedy series[473],Dark comedy,TBA,,,,,16
Untitled Halston miniseries[328],Drama miniseries,TBA,,,,,16
Untitled Norse mythology anime series[474],Anime,TBA,,,,,16
Untitled Paranormal adaptation[475],Arabic language supernatural drama,TBA,,,,,16
Untitled Prince docu-series[476],Documentary,TBA,,,,,16
Untitled Recursion adaptation[477],Science-Fiction,TBA,,,,,16
Untitled Resident Evil series[478],Horror,TBA,,,,,16
Untitled Ryan Quincy animated series[479],Animation,TBA,,,,,16
Untitled scripted series (co-production with Univision)[465],Spanish language scripted series,TBA,,,,,16
Untitled series about the death of Alberto Nisman[480],Documentary miniseries,TBA,,,,,16
Untitled thriller from Mexico[341],Spanish language thriller,TBA,,,,,16
Untitled Sword Art Online live-action drama series[481],Drama,TBA,,,,,16
Untitled Vampires drama series[482],French language series,TBA,,,,,16
Untitled The Chronicles of Narnia series[483],Fantasy,TBA,,,,,16
Untitled unscripted lifestyle series[484],Reality,TBA,,,,,16
Vampire in the Garden[370],Anime,TBA,,,,,16
Virgin River[426],Romance drama,TBA,,,,,16
Viva La Madness[485],Crime drama,TBA,,,,,16
Warrior Nun[257],Drama,TBA,,,,,16
What The Love? With Karan Johar[486],Dating show,TBA,,,,,16
White Lines[487],Drama,TBA,,,,,16
Yasuke[305],Anime,TBA,,,,,16
Young Wallander[488],Detective drama,TBA,,,,,16
Zero[489],Italian language superhero series,TBA,,,,,16
You (season 2)[490],Thriller,2019,"1 season, 10 episodes",TBA,,,17
Zumbo's Just Desserts (season 2)[491],Baking reality competition,2019,"1 season, 12 episodes",TBA,,,17
21 Thunder,"Sports, Drama",,"1 season, 8 episodes",,,,18
After Trek,Talk Show,,"1 season, 14 episodes",,,,18
Bad Blood,Drama,,"2 seasons, 14 episodes",,,,18
Better Call Saul,Drama,,"4 seasons, 31 episodes",,,,18
Black Lightning,Superhero,,"2 seasons, 29 episodes",,,,18
Bodyguard,Political thriller,,"1 season, 6 episodes",,,,18
Borgia,Historical fiction,,"3 seasons, 38 episodes",,,,18
Champions,Comedy-drama,,"1 season, 10 episodes",,,,18
Chewing Gum,Sitcom,,"2 seasons, 12 episodes",,,,18
Comedians in Cars Getting Coffee (seasons 1–9),Comedy,,"4 collections, 59 episodes (1 episode missing)",,,,18
Crashing,Comedy-drama,,"1 season, 6 episodes",,,,18
Creeped Out,Horror fantasy drama,,"2 seasons, 19 episodes",,,,18
Cuckoo,Comedy,,"5 seasons, 33 episodes",,,,18
Derry Girls,Comedy,,"2 seasons, 12 episodes",,,,18
Derek,Comedy-drama,,"3 seasons, 14 episodes",,,,18
Designated Survivor (seasons 1–2),Political drama,,"2 seasons, 43 episodes",,,,18
Dirty John,True crime anthology,,"1 season, 8 episodes",,,,18
Dynasty,Soap opera,,"2 seasons, 44 episodes",,,,18
From Dusk till Dawn,Drama,,"3 seasons, 30 episodes",,,,18
Ghost Wars,Science-fiction,,"1 season, 13 episodes",,,,18
Glitch (season 1),Paranormal-drama,,"1 season, 6 episodes",,,,18
Good Girls,Comedy-drama,,"2 seasons, 23 episodes",,,,18
Great News,Comedy,,"2 seasons, 23 episodes",,,,18
Greenleaf,Drama,,"3 seasons, 42episodes",,,,18
Guilt,Murder mystery,,"1 season, 10 episodes",,,,18
Happy!,Crime drama Comedy,,"2 seasons, 18 episodes",,,,18
Happy Valley,Crime drama,,"2 seasons, 12 episodes",,,,18
London Spy,Drama,,"1 season, 5 episodes",,,,18
Mako Mermaids: An H2O Adventure,Children/teen drama fantasy,,"3 seasons, 52 episodes [g]",,,,18
Manhunt: Unabomber,Drama,,"1 season, 8 episodes",,,,18
Marcella,Film noir/Crime drama,,"2 seasons, 16 episodes",,,,18
Marlon,Sitcom,,"2 seasons, 20 episodes",,,,18
Norsemen,Comedy Historical drama,,"2 seasons, 12 episodes",,,,18
Orphan Black,Science fiction/thriller,,"5 seasons, 50 episodes",,,,18
Outlander,Science fiction/historical drama,,"4 seasons, 52 episodes",,,,18
Peaky Blinders,Crime drama,,"5 seasons, 30 episodes",,,,18
Penny Dreadful,Horror drama,,"3 seasons, 27 episodes",,,,18
Pompidou,Comedy,,"1 season, 6 episodes",,,,18
ReBoot: The Guardian Code,Science fiction,,"2 seasons, 20 episodes",,,,18
Retribution,Crime drama,,"1 season, 4 episodes",,,,18
River,Crime drama,,"1 season, 6 episodes",,,,18
Riverdale,Teen drama/Mystery,,"4 seasons, 58 episodesSeason 4 ongoing",,,,18
Scream,Horror anthology series,,"3 seasons, 30 episodes",,,,18
Secret City,Thriller/ Mystery,,"2 seasons, 12 episodes",,,,18
Shadowhunters,Drama,,"3 seasons, 55 episodes",,,,18
Shooter,Drama,,"3 seasons, 25 episodes",,,,18
Sick Note,Sitcom,,"2 seasons, 14 episodes",,,,18
Sisters,Family drama,,"1 season, 7 episodes",,,,18
Slasher (seasons 1–2),Horror anthology series,,"2 seasons, 16 episodes",,,,18
Snowpiercer,dystopian thriller,,TBA,,,,18
Some Assembly Required,Teen Comedy,,"3 seasons, 57 episodes",,,,18
Somewhere Between,Drama,,"1 season, 10 episodes",,,,18
Southcliffe,Drama,,"1 season, 4 episodes",,,,18
Star Trek: Discovery,Science fiction,,"2 seasons, 29 episodes",,,,18
Superstition,Supernatural drama,,"1 season, 12 episodes",,,,18
The 100,Action,,"4 seasons, 58 episodes",,,,18
The Alienist,Period drama,,10 episodes,,,,18
The A List,Teen drama,,"1 season, 13 episodes",,,,18
The Expanse,Science fiction,,"2 seasons, 23 episodes",,,,18
The Fall,Crime drama,,"3 seasons, 17 episodes",,,,18
The Frankenstein Chronicles,Period crime drama,,"2 seasons, 12 episodes",,,,18
The Good Place,Fantasy sitcom,,"4 seasons, 38 episodesSeason 4 ongoing",,,,18
The Indian Detective,Comedy,,"1 season, 4 episodes",,,,18
The InBESTigators,Children comedy,,"1 season, 10 episodes",,,,18
The Last Kingdom (season 1),Historical fiction,,"1 season, 8 episodes",,,,18
The Magicians,Fantasy,,"4 seasons, 47 episodes",,,,18
The Missing,Psychological drama Mystery Thriller,,"3 seasons, 24 episodes",,,,18
The Mist,Horror,,"1 season, 10 episodes",,,,18
The Returned,Drama,,"1 season, 10 episodes",,,,18
The Sinner,Drama,,"1 season, 8 episodes",,,,18
The Unlisted,Teen drama,,"1 season, 15 episodes",,,,18
Titans,Superhero,,"1 season, 11 episodes",,,,18
Unsolved,True crime,,"1 season, 10 episodes",,,,18
Van Helsing,Drama Horror Fantasy,,"3 seasons, 39 episodes",,,,18
Wanted,Drama,,"2 seasons, 12 episodes",,,,18
White Gold,Comedy,,"2 seasons, 12 episodes",,,,18
Workin' Moms,Comedy,,"3 seasons, 39 episodes",,,,18
You,Thriller,,"1 season, 10 episodes",,,,18
You Me Her,Romantic comedy,,"4 seasons, 40 episodes",,,,18
,Espionage Parody,,"2 seasons, 24 episodes",,,,19
,Science fiction,,"1 season, 6 episodes",,,,19
,Crime drama,,"2 seasons, 16 episodes",,,,19
,Comedy-drama,,"3 seasons, 18 episodes",,,,19
,Crime drama,,"1 season, 6 episodes",,,,19
,Crime thriller,,"1 season, 6 episodes",,,,19
,Thriller,,"1 season, 6 episodes",,,,19
,Police procedural,,"2 seasons, 20 episodes",,,,19
,Thriller,,"1 season, 6 episodes",,,,19
,Thriller,,"1 season, 6 episodes",,,,19
,Crime drama,,"1 season, 6 episodes",,,,19
,Crime drama,,"1 season, 10 episodes",,,,19
,Drama,,"2 seasons, 16 episodes",,,,20
,Period drama,,"1 season, 6 episodes",,,,20
,Drama history,,"1 season, 6 episodes",,,,20
,Historical drama,,"1 season, 3 episodes",,,,20
,Drama,,"1 season, 6 episodes",,,,20
,Drama,,20 episodes,,,,21
,Fantasy drama,,"1 season, 16 episodes",,,,21
,Drama,,"1 season, 8 episodes",,,,21
,Fantasy,,"1 season, 18 episodes",,,,21
,Police procedural,,"1 season, 16 episodes",,,,21
,Thriller,,"1 season, 18 episodes",,,,21
,Political drama,,"1 season, 10 episodes",,,,21
,Romantic comedy,,"1 season, 16 episodes",,,,21
,Drama,,"1 season, 16 episodes",,,,21
,Police procedural,,"1 season, 18 episodes",,,,21
,Korean drama,,"1 season, 16 episodes",,,,21
,Fantasy,,"1 season, 16 episodes",,,,21
,Period drama,,"1 season, 24 episodes",,,,21
,Period drama,,"1 season, 20 episodes",,,,21
,Romance drama,,"1 season, 16 episodes",,,,21
,Comedy,,"1 season, 16 episodes",,,,21
,Thriller,,"1 season, 16 episodes",,,,21
,Romantic comedy,,"1 season, 16 episodes",,,,21
,Period drama,,"1 season, 20 episodes",,,,21
,Thriller,,"1 season, 16 episodes",,,,21
,Drama,,"1 season, 3 episodes",,,,21
,Political drama,,TBA,,,,21
,Sitcom,,"1 season, 10 episodes",,,,21
,Sitcom,,"2 seasons, 20 episodes",,,,21
,Action Spy thriller Romance,,"1 season, 16 episodes",,,,21
,Drama,,"1 season, 20 episodes",,,,21
,Romantic comedy thriller,,"1 season, 32 episodes",,,,21
,Drama,,"1 season, 24 episode",,,,22
,Drama,,"1 season, 12 episodes",,,,22
,Drama,,"1 season, 10 episodes",,,,22
,Romantic comedy,,"1 season, 30 episodes",,,,22
,Fantasy,,"1 season, 63 epsodes",,,,22
,Thriller,,"1 season, 3 episodes",,,,22
,Drama,,"1 season, 6 episodes",,,,22
,Drama,,"1 season, 24 episodes",,,,22
,Drama,,"1 season, 30 episodes",,,,22
,Romantic comedy,,"1 season, 49 episodes",,,,22
,Drama,,"1 season, 5 episodes",,,,22
,Comedy,,"1 season, 30 episodes",,,,22
,Period drama,,"1 season, 70 episodes",,,,22
,Science fiction thriller,,"1 season, 7 episodes",,,,22
,Romance,,"1 season, 24 episodes",,,,22
,Romantic comedy,,"1 season, 20 episodes",,,,22
,Drama,,"1 season, 13 episodes",,,,23
,Biographical drama,,"1 season, 8 episodes",,,,23
,Period drama,,"1 season, 60 episodes[586]",,,,23
,Historical fiction,,"1 season, 8 episodes",,,,23
,Drama,,"1 season, 10 episodes",,,,23
,Drama,,"1 season, 38 episodes",,,,23
,Crime drama,,"3 seasons, 29 episodes",,,,23
,Comedy-drama,,"2 seasons, 23 episodes",,,,23
,Thriller,,"1 season, 10 episodes",,,,23
,Drama,,"1 season, 11 episodes",,,,23
,Drama,,"1 season, 86 episodes",,,,23
,Drama,,"2 seasons, 123 episodes",,,,23
,Drama,,"4 seasons, 40 episodes",,,,23
,Biographical drama,,"1 season, 13 episodes",,,,23
,Drama,,"1 season, 24 episodes",,,,23
,Drama,,"1 season, 15 episodes",,,,23
,Drama,,TBA,,,,23
,Historical Fiction,,"1 season, 13 episodes",,,,23
,Biography,,"1 season, 13 episodes",,,,23
,Drama,,"1 season, 10 episodes",,,,23
,Drama,,"1 season, 60 episodes",,,,23
,Science fiction drama,,"3 seasons, 34 episodes",,,,23
,Comedy,,"1 season, 63 episodes",,,,23
,Thriller,,"1 season, 13 episodes",,,,23
,Telenovela,,"2 seasons, 142 episodes",,,,23
,Drama,,"1 season, 13 episodes",,,,23
,Crime drama,,"1 season, 60 episodes",,,,23
,Thriller drama,,"1 season, 8 episodes",,,,23
,Comedy,,"1 season, 18 episodes",,,,24
,Drama,,"1 season, 13 episodes",,,,24
,Drama,,"1 season, 13 episodes",,,,24
,Drama,,"1 season, 13 episodes",,,,24
,Drama,,"1 season, 13 episodes",,,,24
,Drama,,"1 season, 13 episodes",,,,24
,Action,,"1 season, 13 episodes",,,,24
,Drama,,"1 season, 16 episodes",,,,24
,Drama,,"1 season, 13 episodes",,,,24
,Drama,,"1 season, 10 episodes",,,,25
,Drama,,"1 season, 4 episodes",,,,25
,Drama/thriller,,"2 seasons, 24 episodes",,,,25
,Historical fiction,,"2 seasons, 16 episodes",,,,25
,Historical fiction,,"1 season, 5 episodes",,,,25
,Comedy/Drama/Thriller,,"1 season, 10 episodes",,,,25
,Crime drama,,"1 season, 13 episodes",,,,26
,Crime drama,,"1 season, 13 episodes",,,,26
,Drama/Science fiction,,"1 season, 16 episodes",,,,26
,Police procedural,,"1 season, 6 episodes",,,,26
,Crime drama,,"1 season, 8 episodes",,,,26
,Comedy-drama,,"3 seasons, 30 episodes",,,,26
,Police procedural,,"1 season, 8 episodes",,,,26
,Crime drama,,"2 seasons, 21 episodes",,,,26
,Sitcom,,"1 season, 10 episodes",,,,26
,Police procedural,,"1 season, 12 episodes",,,,26
,Crime drama,,"1 season, 9 episodes",,,,26
,Crime drama,,"1 season, 12 episodes",,,,26
,Drama,,"1 season, 8 episodes",,,,26
,Mystery Drama,,"1 season, 10 episodes",,,,26
,Fantasy,,"1 season, 10 episodes",,,,26
,Drama,,"1 season, 8 episodes",,,,26
,Drama,,"1 season, 18 episodes",,,,26
,Comedy-drama,,"1 season, 26 episodes",,,,26
,Drama,,"1 season, 13 episodes",,,,26
,Drama,,"1 season, 10 episodes",,,,26
,War drama thriller,,"1 season, 8 episodes",,,,26
,Political thriller,,"2 seasons, 18 episodes",,,,26
,Comedy-drama,,"4 seasons, 32 episodes",,,,26
,Psychological thriller,,"1 season, 9 episodes",,,,26
,Comedy,,"1 season, 13 episodes",,,,26
,Drama,,"1 season, 12 episodes",,,,26
,Comedy-drama,,"2 seasons, 16 episodes",,,,26
,Crime drama,,"1 season, 10 episodes",,,,26
,Crime drama,,"4 seasons, 48 episodes",,,,26
,Crime drama,,"1 season, 6 episodes",,,,26
,Dark Comedy,,"1 season, 13 episodes",,,,26
,Thriller,,"1 season, 10 episodes",,,,26
,Drama,,"1 season, 6 episodes",,,,26
,Talent show,,"1 season, 7 episodes",,,,27
,Talent show,,"1 season, 7 episodes",,,,27
,Reality competition/Dance,,"2 seasons, 15 episodes",,,,27
,Reality,,"1 season, 7 episodes",,,,27
,Reality,,"1 season, 10 episodes",,,,27
,Reality,,"1 season, 5 episodes",,,,27
,Reality,,"2 seasons, 25 episodes",,,,27
,Reality,,"2 seasons, 19 episodes",,,,27
,Reality,,"2 seasons, 18 episodes",,,,27
,Reality,,"2 seasons, 12 episodes",,,,27
,Reality competition,,"1 season, 14 episodes",,,,27
,Reality competition,,"1 season, 12 episodes",,,,27
,Reality competition,,"2 seasons, 26 episodes",,,,27
,Baking reality competition,,"7 collections, 63 episodesCollection 7 ongoing",,,,27
,Baking reality competition,,"1 season, 2 episodes",,,,27
